<SIZE>, <EXECUTION_TIME_1>, <EXECUTION_TIME_2>, <EXECUTION_TIME_3>, <EXECUTION_TIME_4>, <EXECUTION_TIME_5>, <AVG>
101, 171054848, 114630149, 168000848, 141241315, 118203951, 142626222
102, 168154892, 128738947, 184694660, 129445659, 116923733, 145591578
103, 129097520, 120369343, 123373481, 120256928, 123348813, 123289217
104, 123229123, 126287940, 125346418, 126623102, 124351730, 125167662
105, 131865667, 127948741, 130662810, 127955930, 136816750, 131049979
106, 130427610, 128442867, 130625341, 130233093, 129692157, 129884213
107, 131023271, 129412037, 132552547, 130115501, 132403018, 131101274
108, 134928519, 140177946, 135352504, 138338256, 134807652, 136720975
109, 136239013, 131962738, 135138382, 132091042, 143349124, 135756059
110, 135828615, 137404406, 137765388, 139817885, 136400993, 137443457
111, 141332488, 140001160, 145320078, 139688592, 142207326, 141709928
112, 145706041, 148199263, 147490880, 146257027, 146592509, 146849144
113, 150526103, 157338645, 169487855, 187477447, 170909952, 167148000
114, 161473120, 155447711, 152085921, 154249977, 151880217, 155027389
115, 166181558, 158478562, 158549496, 156761509, 157611452, 159516515
116, 161808933, 162390585, 159877462, 161793091, 159896249, 161153264
117, 165423241, 165401073, 168048483, 168697405, 167786813, 167071403
118, 167905121, 171510814, 170470428, 173534165, 168193963, 170322898
119, 174142151, 180673109, 179025590, 171815252, 173039465, 175739113
120, 168355511, 172182880, 170292226, 172130381, 170633557, 170718911
121, 176836359, 175260409, 180247894, 170764910, 175137027, 175649319
122, 173428318, 172207864, 183427502, 175292420, 175365363, 175944293
123, 177454152, 177687066, 177970626, 174300574, 180609671, 177604417
124, 181811809, 185449228, 183707631, 185100958, 202582676, 187730460
125, 194633590, 210881633, 252169492, 205572141, 215903233, 215832017
126, 208751548, 208324612, 209119286, 208392684, 212534965, 209424619
127, 219288328, 220678311, 221626192, 220713381, 220276422, 220516526
128, 226807308, 222687399, 232923525, 226554511, 237316565, 229257861
129, 243098515, 242923185, 244955570, 241388472, 246364373, 243746023
130, 267725174, 247412943, 255309758, 261173509, 258923723, 258109021
131, 264177898, 262920775, 271566136, 264412759, 263550061, 265325525
132, 269946246, 272710927, 279087466, 293307988, 352678039, 293546133
133, 294509139, 292536112, 296044298, 291729431, 308852204, 296734236
134, 301233078, 338327823, 298540493, 315005323, 306331021, 311887547
135, 306111211, 305861366, 331423309, 304338949, 311810702, 311909107
136, 337722847, 316303983, 320420335, 393427322, 572582948, 388091487
137, 323110865, 331976932, 336054894, 323524577, 316446101, 326222673
138, 320014999, 313411392, 310541842, 322996179, 310448911, 315482664
139, 319667565, 304397624, 304477245, 300978484, 316093470, 309122877
140, 351889791, 329361989, 311618912, 303659551, 324468676, 324199783
141, 301318068, 288205096, 302253156, 352160737, 293429889, 307473389
142, 298096532, 294562068, 296775933, 295292229, 297957374, 296536827
143, 300607741, 295264526, 292337353, 293315389, 314022974, 299109596
144, 295895548, 300090682, 323070017, 296156989, 295391059, 302120859
145, 305105305, 331291466, 314739976, 314145561, 317786494, 316613760
146, 319025662, 321649745, 326352825, 330509872, 316933858, 322894392
147, 338882789, 330265481, 338131361, 373356935, 377519503, 351631213
148, 350192783, 366345915, 353633629, 350806912, 358290782, 355854004
149, 356845802, 355492314, 375333760, 527546412, 380101569, 399063971
150, 377731967, 375941248, 380606880, 371718757, 364088054, 374017381
151, 354023360, 367870704, 348502731, 346624905, 340850040, 351574348
152, 346143813, 347200764, 363689411, 357476292, 353872488, 353676553
153, 354178247, 354644307, 357905877, 360602471, 359301609, 357326502
154, 363336588, 360327656, 363629483, 371218996, 392632465, 370229037
155, 471588443, 427711656, 407753136, 427594998, 397617073, 426453061
156, 412421792, 457911544, 424063421, 410130686, 405502606, 422006009
157, 416452899, 410884020, 404898063, 404518280, 422142358, 411779124
158, 400282344, 399081055, 381463406, 378724312, 390722942, 390054811
159, 381817494, 381938225, 388515814, 393087320, 392391529, 387550076
