<SIZE>, <EXECUTION_TIME_1>, <EXECUTION_TIME_2>, <EXECUTION_TIME_3>, <EXECUTION_TIME_4>, <EXECUTION_TIME_5>, <AVG>
120, 19154, 17402, 18539, 17657, 18732, 18296
121, 21086, 18964, 18516, 18152, 18563, 19056
122, 21527, 17799, 18959, 21357, 16423, 19213
123, 37149, 19201, 19014, 22954, 23313, 24326
124, 23530, 22769, 24386, 22326, 22256, 23053
125, 22457, 22778, 27626, 20415, 17647, 22184
126, 20778, 74176, 20064, 19123, 19763, 30780
127, 20264, 19602, 19004, 21101, 19066, 19807
128, 18712, 18200, 19011, 14511, 15848, 17256
129, 15401, 19389, 19606, 18201, 20112, 18541
130, 19828, 19235, 20409, 19737, 21527, 20147
131, 22425, 21801, 20571, 21554, 21994, 21669
132, 22499, 21496, 19821, 19964, 19683, 20692
133, 20549, 21949, 21521, 20854, 22938, 21562
134, 20753, 20539, 20431, 20164, 23409, 21059
135, 21189, 20503, 22428, 20293, 20319, 20946
136, 20586, 20392, 20233, 20110, 20181, 20300
137, 22189, 20324, 20294, 20553, 20301, 20732
138, 20614, 23086, 23976, 21853, 21022, 22110
139, 21606, 21801, 21491, 21773, 25047, 22343
140, 21928, 21379, 21817, 21500, 21433, 21611
141, 21824, 21709, 23179, 21229, 21691, 21926
142, 21009, 22155, 22373, 22372, 23980, 22377
143, 26808, 27525, 27308, 26795, 26945, 27076
144, 27685, 23893, 23203, 22897, 22129, 23961
145, 22743, 71616, 22838, 25381, 23815, 33278
146, 25101, 23138, 23633, 26370, 24003, 24449
147, 25925, 23584, 23131, 23701, 24080, 24084
148, 22596, 23918, 578899, 25322, 24255, 134998
149, 25502, 24781, 22535, 24335, 24009, 24232
150, 24227, 23819, 23268, 25560, 22973, 23969
151, 24136, 25205, 23855, 24185, 23744, 24225
152, 66178, 25406, 25506, 28019, 25781, 34178
153, 25223, 25867, 25643, 23952, 25836, 25304
154, 24046, 23399, 23707, 23290, 23889, 23666
155, 22978, 34366, 26136, 25452, 24965, 26779
156, 27024, 27859, 27611, 27900, 25388, 27156
157, 24692, 27804, 32630, 25189, 43894, 30841
158, 16159, 25580, 25129, 25372, 25111, 23470
159, 41000, 31736, 30250, 28915, 29751, 32330
160, 24285, 25807, 28283, 25750, 25624, 25949
161, 25870, 25577, 26109, 27880, 24704, 26028
162, 25848, 24529, 26699, 25984, 25600, 25732
163, 27462, 26771, 25590, 25209, 25922, 26190
164, 26227, 28133, 26996, 25809, 26349, 26702
165, 26534, 24413, 28250, 26587, 22745, 25705
166, 26888, 26906, 26332, 25584, 23250, 25792
167, 26097, 23292, 29989, 26244, 29998, 27124
168, 27274, 27274, 27487, 22132, 22852, 25403
169, 22480, 24006, 26172, 30692, 26714, 26012
170, 26854, 29314, 105688, 27786, 30450, 44018
171, 607613, 29551, 29177, 30288, 28634, 145052
172, 28343, 29071, 26216, 28953, 29307, 28378
173, 28858, 28356, 28447, 28614, 28183, 28491
174, 32033, 28734, 29982, 30728, 30654, 30426
175, 33701, 29782, 31470, 31752, 32339, 31808
176, 30243, 34470, 28709, 55139, 32116, 36135
177, 64299, 31073, 48585, 32353, 32540, 41770
178, 56629, 33064, 31482, 34979, 31186, 37468
179, 30996, 33108, 32309, 30318, 33234, 31993
180, 31457, 33029, 31415, 32108, 33388, 32279
181, 32214, 31474, 31748, 37851, 32914, 33240
182, 32247, 30849, 37021, 30823, 32248, 32637
183, 33505, 34205, 47164, 33588, 38911, 37474
184, 40448, 43174, 35984, 32569, 33473, 37129
185, 33999, 31593, 31457, 31233, 25442, 30744
186, 34019, 32666, 35824, 33313, 32476, 33659
187, 32185, 31643, 31990, 33437, 31772, 32205
188, 28567, 32310, 33767, 39082, 47288, 36202
189, 42553, 36723, 188700, 33015, 33353, 66868
190, 36924, 36121, 36093, 35399, 37192, 36345
191, 35062, 34841, 34774, 26881, 35925, 33496
192, 31802, 35186, 36760, 33355, 39349, 35290
193, 45370, 43617, 44625, 56773, 79436, 53964
194, 92695, 110044, 86901, 129771, 93831, 102648
195, 106375, 92253, 69366, 84475, 90839, 88661
196, 105674, 96409, 129186, 95887, 112074, 107846
197, 98671, 99381, 92801, 1419762, 88648, 359852
198, 92245, 461048, 85833, 90946, 99144, 165843
199, 97344, 102186, 89766, 98488, 91312, 95819
200, 98590, 100354, 93657, 98333, 99351, 98057
201, 105632, 97197, 138585, 102392, 110548, 110870
202, 93899, 97366, 135557, 113396, 99971, 108037
203, 103099, 103220, 110235, 102151, 104551, 104651
204, 103989, 112552, 106874, 102567, 151087, 115413
