<SIZE>, <EXECUTION_TIME_1>, <EXECUTION_TIME_2>, <EXECUTION_TIME_3>, <EXECUTION_TIME_4>, <EXECUTION_TIME_5>, <AVG>
120, 10309, 6370, 5581, 7542, 7426, 7445
121, 7899, 12516, 10132, 8791, 12539, 10375
122, 25928, 15437, 10758, 10451, 78140, 28142
123, 17069, 17234, 10098, 12090, 13622, 14022
124, 16324, 13944, 11015, 10939, 14301, 13304
125, 17996, 15160, 11013, 52903, 10464, 21507
126, 17849, 17135, 18518, 10628, 10446, 14915
127, 12037, 12615, 15719, 17962, 10874, 13841
128, 12472, 11072, 11154, 17682, 12797, 13035
129, 18658, 17038, 14928, 17995, 24068, 18537
130, 18930, 16523, 12988, 9878, 11552, 13974
131, 19286, 17508, 14108, 18807, 18243, 17590
132, 19646, 19142, 18169, 18403, 17673, 18606
133, 19316, 60631, 15116, 14610, 13514, 24637
134, 19567, 18252, 18402, 17867, 17916, 18400
135, 18212, 15352, 14493, 99670, 14752, 32495
136, 18608, 13006, 10803, 10203, 7415, 12007
137, 9594, 8074, 9391, 9196, 12942, 9839
138, 16655, 11072, 8694, 10062, 9451, 11186
139, 12870, 8503, 7750, 9748, 15645, 10903
140, 74583, 9100, 7819, 9445, 9505, 22090
141, 12006, 8414, 7701, 9527, 20964, 11722
142, 10534, 8531, 10622, 9715, 9659, 9812
143, 10253, 8949, 10581, 10222, 7358, 9472
144, 12318, 10928, 10108, 33936, 9942, 15446
145, 13035, 9233, 10754, 10168, 9663, 10570
146, 13436, 11672, 10695, 7856, 32042, 15140
147, 10786, 8904, 10445, 9881, 7544, 9512
148, 13342, 9256, 10662, 10307, 10160, 10745
149, 13112, 11461, 8502, 10678, 16050, 11960
150, 12889, 11637, 8487, 9996, 7711, 10144
151, 35728, 11966, 8776, 10315, 18078, 16972
152, 13208, 13254, 15984, 10545, 7817, 12161
153, 39208, 9632, 10821, 8017, 9775, 15490
154, 12514, 11559, 10904, 8121, 10160, 10651
155, 13624, 13792, 18958, 12060, 8359, 13358
156, 13720, 12361, 25609, 8511, 7814, 13603
157, 85130, 49221, 59765, 61340, 56793, 62449
158, 35123, 41002, 22932, 11859, 8593, 23901
159, 13817, 9859, 11453, 8538, 10656, 10864
160, 17332, 9831, 11125, 8542, 10526, 11471
161, 14357, 12186, 11368, 8624, 36348, 16576
162, 14206, 10477, 11790, 8677, 10978, 11225
163, 14285, 10178, 11542, 11269, 10347, 11524
164, 14565, 12579, 9240, 11117, 8696, 11239
165, 14618, 10628, 11923, 33105, 11156, 16286
166, 14479, 13109, 9672, 11477, 11227, 11992
167, 11999, 12556, 11419, 49990, 8899, 18972
