<SIZE>, <EXECUTION_TIME_1>, <EXECUTION_TIME_2>, <EXECUTION_TIME_3>, <EXECUTION_TIME_4>, <EXECUTION_TIME_5>, <AVG>
1725, 119060, 45085, 32657, 29532, 27070, 50680
1726, 121680, 40587, 33359, 29898, 28351, 50775
1727, 119060, 40965, 34450, 30913, 28040, 50685
1728, 121659, 40497, 33053, 29608, 28055, 50574
1729, 121066, 40448, 43284, 62801, 50112, 63542
1730, 148379, 47104, 36262, 31222, 28964, 58386
1731, 119326, 43179, 36265, 32752, 29629, 52230
1732, 120557, 45689, 36312, 31517, 29507, 52716
1733, 120831, 40573, 34886, 31350, 28604, 51248
1734, 119243, 41749, 33630, 30142, 45163, 53985
1735, 120748, 43874, 36345, 31802, 29348, 52423
1736, 125013, 56389, 75814, 54104, 68842, 76032
1737, 122245, 44407, 34443, 31160, 28188, 52088
1738, 125748, 68156, 56799, 61098, 39005, 70161
1739, 122314, 42924, 35108, 31629, 28573, 52109
1740, 134634, 41006, 81967, 39965, 33592, 66232
1741, 122226, 42497, 35386, 46497, 34436, 56208
1742, 122848, 59369, 36000, 31776, 50456, 60089
1743, 123116, 46177, 46900, 40261, 41289, 59548
1744, 121595, 47067, 36638, 32201, 29426, 53385
1745, 151326, 63392, 59658, 39073, 33633, 69416
1746, 123167, 43689, 34275, 75719, 63391, 68048
1747, 162660, 72445, 37311, 33163, 30656, 67247
1748, 126210, 41965, 34706, 30501, 64824, 59641
1749, 124318, 42852, 68470, 59299, 66367, 72261
1750, 150017, 58345, 42085, 33686, 29980, 62822
1751, 122919, 41823, 34229, 30656, 29004, 51726
1752, 154104, 47606, 37244, 32221, 29721, 60179
1753, 134611, 57527, 37192, 50458, 39532, 63864
1754, 182969, 106660, 60976, 57520, 50109, 91646
1755, 135087, 58781, 37792, 33585, 37444, 60537
1756, 122330, 42141, 35199, 48942, 46587, 59039
1757, 148854, 45955, 38928, 42218, 30098, 61210
1758, 120403, 43255, 36349, 55725, 30200, 57186
1759, 183861, 53672, 39732, 33581, 30205, 68210
1760, 120718, 43629, 57475, 56477, 48015, 65262
1761, 125873, 78497, 58148, 49452, 38126, 70019
1762, 123817, 43452, 34676, 31283, 29462, 52538
1763, 168151, 50606, 78868, 65150, 41822, 80919
1764, 183522, 61110, 69747, 54108, 44911, 82679
1765, 133815, 50158, 38954, 33791, 31443, 57632
1766, 123501, 42544, 35950, 32887, 30323, 53041
1767, 123410, 47440, 38047, 33837, 32763, 55099
1768, 123209, 42018, 66445, 51935, 53251, 67371
1769, 154825, 53361, 43018, 45588, 39052, 67168
1770, 123988, 50238, 39279, 46445, 40522, 60094
1771, 185869, 81112, 79419, 46841, 58983, 90444
1772, 126067, 45053, 36612, 58977, 46194, 62580
1773, 122979, 46179, 45739, 66918, 51599, 66682
1774, 128124, 59694, 46618, 47954, 40541, 64586
1775, 126046, 46026, 37849, 32705, 30178, 54560
1776, 124578, 42419, 60787, 39307, 34764, 60371
1777, 148954, 57542, 80401, 40955, 34037, 72377
1778, 126896, 50957, 40248, 104431, 44859, 73478
1779, 125090, 56882, 41395, 47780, 36019, 61433
1780, 125937, 44283, 39049, 56119, 45234, 62124
1781, 127048, 50508, 40654, 36244, 51447, 61180
1782, 127518, 69358, 47744, 39360, 44606, 65717
1783, 127058, 45053, 59872, 47030, 38636, 63529
1784, 127772, 49749, 72904, 68545, 56810, 75156
1785, 125950, 58738, 59950, 52284, 55506, 70485
1786, 160797, 51993, 53113, 85471, 71955, 84665
1787, 154706, 90564, 85499, 76105, 121736, 105722
1788, 166605, 79361, 66620, 108792, 62738, 96823
1789, 162691, 73128, 64107, 157584, 90442, 109590
1790, 190255, 77256, 73768, 102063, 72711, 103210
1791, 183382, 87078, 69991, 69544, 94561, 100911
1792, 174627, 104807, 67475, 70046, 88787, 101148
1793, 161515, 110008, 61705, 68199, 85604, 97406
1794, 165420, 79154, 71042, 82295, 62784, 92139
1795, 180673, 71924, 76979, 94924, 76565, 100213
1796, 182474, 149422, 66795, 53684, 81869, 106848
1797, 157316, 71835, 82660, 80272, 82190, 94854
1798, 185969, 78582, 58284, 87107, 62307, 94449
1799, 161925, 77407, 61635, 59897, 54081, 82989
1800, 169882, 73698, 58096, 36866, 50769, 77862
1801, 155028, 54890, 40596, 36122, 53603, 68047
1802, 161971, 56256, 52244, 79574, 47708, 79550
1803, 165256, 58895, 50038, 50937, 48752, 74775
1804, 197181, 91367, 60903, 62346, 49880, 92335
1805, 148913, 76240, 53849, 51082, 42462, 74509
1806, 130293, 104163, 67529, 67178, 60797, 85992
1807, 183298, 46299, 51030, 52121, 58936, 78336
1808, 135750, 52303, 51267, 95869, 45844, 76206
1809, 165347, 57114, 52142, 62398, 46586, 76717
1810, 132838, 44224, 43735, 33579, 31948, 57264
1811, 130256, 57089, 36605, 34641, 30694, 57857
1812, 132561, 67209, 82089, 74345, 62422, 83725
1813, 148214, 61295, 46973, 79305, 75078, 82173
1814, 147382, 65509, 62662, 55627, 61986, 78633
1815, 163799, 69789, 72369, 42263, 36465, 76937
1816, 153588, 72068, 51551, 60647, 64416, 80454
1817, 151179, 47931, 58182, 75067, 55039, 77479
1818, 182198, 102191, 52727, 41197, 40407, 83744
1819, 166291, 45472, 90290, 77906, 62280, 88447
1820, 142516, 64029, 56887, 51642, 55097, 74034
1821, 153404, 54722, 61538, 73012, 73204, 83176
1822, 130052, 76358, 39536, 34638, 32428, 62602
1823, 132137, 60033, 74303, 60906, 62451, 77966
1824, 135756, 68172, 90795, 44396, 41095, 76042
1825, 133400, 53640, 39508, 35317, 31727, 58718
1826, 126083, 44449, 57017, 42296, 36677, 61304
1827, 127548, 45348, 37206, 34912, 31902, 55383
1828, 134270, 62336, 37428, 46798, 36372, 63440
1829, 165484, 50143, 38838, 34512, 32316, 64258
1830, 126275, 46277, 48131, 36627, 32283, 57918
1831, 128264, 46783, 38108, 34141, 67663, 62991
1832, 135880, 66136, 42953, 36756, 74794, 71303
1833, 222329, 45624, 37935, 32593, 30710, 73838
1834, 128844, 46396, 48358, 47949, 95535, 73416
1835, 141221, 70118, 64662, 45998, 39378, 72275
1836, 130846, 47921, 38267, 33667, 31369, 56414
1837, 127854, 44665, 37705, 34514, 31547, 55257
1838, 125663, 45383, 36781, 33358, 32023, 54641
1839, 129102, 44279, 36488, 32195, 48706, 58154
1840, 127604, 46077, 38623, 35047, 49050, 59280
1841, 216490, 45073, 78673, 49148, 54316, 88740
1842, 147982, 46765, 47122, 39795, 34879, 63308
1843, 148070, 50441, 39057, 54733, 55280, 69516
1844, 176044, 72776, 59908, 56124, 53641, 83698
1845, 177039, 74644, 58972, 51837, 53633, 83225
1846, 172749, 72325, 59992, 55763, 61173, 84400
1847, 176747, 70950, 59092, 56923, 54899, 83722
1848, 180308, 70959, 58487, 53600, 43366, 81344
1849, 129536, 46477, 38391, 34636, 35550, 56918
1850, 133472, 66253, 36534, 34850, 56965, 65614
1851, 141304, 57058, 46285, 45359, 34238, 64848
1852, 134920, 44850, 36285, 32783, 30970, 55961
1853, 128576, 49569, 39621, 34615, 31970, 56870
1854, 127910, 45831, 38319, 34833, 31788, 55736
1855, 130299, 42591, 34868, 31073, 30068, 53779
1856, 126651, 49204, 38771, 33927, 31508, 56012
1857, 128328, 45270, 38176, 34925, 31790, 55697
1858, 128851, 43617, 49490, 48293, 38049, 61660
1859, 131100, 47094, 62838, 56881, 32415, 66065
1860, 148386, 48416, 76812, 54980, 37099, 73138
1861, 164947, 48750, 58762, 37099, 57685, 73448
1862, 163709, 56856, 44819, 37605, 33338, 67265
1863, 130588, 46896, 60018, 65110, 47109, 69944
1864, 182362, 58259, 49018, 43858, 36957, 74090
1865, 223635, 50126, 39078, 35673, 33203, 76343
1866, 129108, 45544, 38241, 33389, 31741, 55604
1867, 130332, 45770, 39244, 35516, 31804, 56533
1868, 129909, 54063, 41084, 82745, 60651, 73690
1869, 179525, 79528, 47885, 73348, 60703, 88197
1870, 175288, 55763, 55945, 42406, 36964, 73273
1871, 131458, 46465, 37317, 32629, 31210, 55815
1872, 138466, 69788, 46227, 38119, 70021, 72524
1873, 175716, 48051, 61556, 46985, 41019, 74665
1874, 130260, 47361, 39537, 34367, 32147, 56734
1875, 131923, 47790, 87818, 51199, 39746, 71695
1876, 133035, 48188, 40372, 59775, 53866, 67047
1877, 133793, 50067, 39173, 34836, 32777, 58129
1878, 130398, 87781, 46469, 68183, 44198, 75405
1879, 137126, 47784, 41123, 36171, 33286, 59098
1880, 131630, 46810, 37214, 104844, 62176, 76534
1881, 140706, 54356, 45650, 47700, 79855, 73653
1882, 136949, 48191, 43392, 34819, 32947, 59259
1883, 149845, 46134, 75699, 67928, 43010, 76523
1884, 165976, 54653, 70485, 67290, 46073, 80895
1885, 130156, 48595, 37879, 33756, 31787, 56434
1886, 141513, 85818, 48267, 64453, 45854, 77181
1887, 132326, 56149, 44186, 36437, 41345, 62088
1888, 139595, 56770, 40809, 35673, 32836, 61136
1889, 143527, 48023, 39162, 45343, 33197, 61850
1890, 166123, 67823, 46184, 78311, 63837, 84455
1891, 131057, 49126, 40040, 35171, 33523, 57783
1892, 218218, 45930, 69133, 64686, 38515, 87296
1893, 150028, 45309, 40311, 71969, 54441, 72411
1894, 155904, 50644, 67355, 43914, 38315, 71226
1895, 160662, 68903, 48009, 40526, 35856, 70791
1896, 133507, 53303, 39390, 65607, 45477, 67456
1897, 139428, 54164, 45134, 35358, 33464, 61509
1898, 132037, 57479, 39094, 39679, 32910, 60239
1899, 142091, 48525, 72731, 107999, 53696, 85008
1900, 133595, 50339, 42046, 36692, 33766, 59287
1901, 129719, 48027, 40235, 61764, 96867, 75322
1902, 161366, 49701, 51080, 52901, 61270, 75263
1903, 136044, 75894, 73778, 65585, 48797, 80019
1904, 139632, 75359, 84178, 64067, 69877, 86622
1905, 161904, 51345, 75799, 46468, 38320, 74767
1906, 137192, 63236, 48542, 41091, 36232, 65258
1907, 136766, 47870, 40960, 36759, 34202, 59311
1908, 158597, 66787, 40674, 53916, 44242, 72843
1909, 142693, 51758, 57012, 69597, 61869, 76585
1910, 145559, 74795, 46436, 55117, 54563, 75294
1911, 173164, 66069, 52552, 38700, 35218, 73140
1912, 146975, 68377, 68431, 85241, 81049, 90014
1913, 170556, 55123, 66005, 56160, 44678, 78504
1914, 143054, 47549, 39017, 40652, 33358, 60726
1915, 138613, 79955, 50759, 41563, 91752, 80528
1916, 162363, 60010, 54867, 89927, 71428, 87719
1917, 150925, 77486, 55761, 37869, 108557, 86119
1918, 137894, 56972, 55446, 36501, 34266, 64215
1919, 148085, 48987, 39305, 50597, 39415, 65277
1920, 147248, 52184, 55698, 37280, 33847, 65251
1921, 143974, 53168, 52723, 62661, 70736, 76652
1922, 143362, 68417, 55828, 41969, 88615, 79638
1923, 166898, 47767, 39707, 64892, 71426, 78138
1924, 137408, 77116, 98954, 52147, 44290, 81983
1925, 150298, 56851, 50231, 40332, 86440, 76830
