<SIZE>, <EXECUTION_TIME_1>, <EXECUTION_TIME_2>, <EXECUTION_TIME_3>, <EXECUTION_TIME_4>, <EXECUTION_TIME_5>, <AVG>
155, 1670, 199, 166, 161, 127, 464
156, 158, 202, 200, 179, 227, 193
157, 342, 205, 171, 171, 183, 214
158, 193, 243, 189, 153, 162, 188
159, 321, 208, 188, 165, 145, 205
160, 192, 194, 203, 182, 191, 192
161, 200, 228, 258, 168, 159, 202
162, 340, 239, 178, 154, 198, 221
163, 266, 199, 155, 135, 158, 182
164, 185, 208, 168, 174, 283, 203
165, 252, 198, 164, 206, 159, 195
166, 186, 194, 273, 166, 226, 209
167, 190, 196, 163, 230, 165, 188
168, 321, 265, 286, 196, 176, 248
169, 238, 178, 190, 189, 173, 193
170, 213, 292, 227, 156, 189, 215
171, 161, 160, 162, 159, 278, 184
172, 185, 225, 200, 273, 150, 206
173, 205, 205, 160, 159, 152, 176
174, 200, 211, 133, 206, 242, 198
175, 155, 117, 68, 100, 44, 96
176, 66, 44, 46, 239, 73, 93
177, 48, 47, 40, 48, 42, 45
178, 56, 61, 45, 51, 56, 53
179, 44, 41, 40, 48, 59, 46
180, 45, 50, 43, 55, 41, 46
181, 47, 49, 45, 88, 95, 64
182, 48, 45, 87, 103, 87, 74
183, 44, 46, 45, 48, 57, 48
184, 47, 43, 45, 44, 49, 45
185, 118, 43, 62, 46, 46, 63
186, 46, 42, 41, 42, 61, 46
187, 59, 45, 53, 41, 45, 48
188, 61, 48, 84, 88, 87, 73
189, 48, 50, 48, 64, 45, 51
190, 62, 46, 48, 45, 49, 50
191, 68, 44, 48, 49, 62, 54
192, 66, 44, 59, 42, 56, 53
193, 51, 44, 42, 87, 86, 62
194, 53, 60, 50, 46, 59, 53
195, 69, 44, 45, 48, 61, 53
196, 47, 46, 44, 86, 86, 61
197, 82, 51, 51, 44, 72, 60
198, 110, 51, 45, 47, 44, 59
199, 47, 47, 44, 44, 46, 45
200, 48, 46, 44, 45, 44, 45
201, 61, 58, 47, 43, 44, 50
202, 47, 43, 124, 46, 43, 60
203, 95, 59, 41, 46, 45, 57
204, 51, 60, 54, 47, 45, 51
205, 47, 47, 60, 64, 48, 53
206, 54, 45, 42, 57, 89, 57
207, 102, 48, 46, 60, 62, 63
208, 76, 42, 46, 43, 86, 58
209, 51, 77, 41, 41, 41, 50
210, 45, 41, 41, 41, 41, 41
211, 41, 100, 160, 42, 47, 78
212, 67, 41, 41, 42, 41, 46
213, 41, 93, 49, 44, 45, 54
214, 41, 88, 65, 58, 44, 59
215, 100, 41, 54, 42, 42, 55
216, 41, 41, 42, 41, 86, 50
217, 48, 41, 45, 63, 43, 48
218, 41, 41, 41, 41, 41, 41
219, 44, 49, 63, 49, 43, 49
220, 41, 41, 86, 46, 46, 52
221, 63, 62, 42, 42, 100, 61
222, 83, 41, 41, 41, 41, 49
223, 41, 88, 75, 40, 42, 57
224, 98, 41, 41, 41, 41, 52
225, 41, 43, 41, 41, 41, 41
226, 41, 41, 41, 41, 42, 41
227, 44, 41, 41, 41, 41, 41
228, 44, 43, 41, 41, 41, 42
229, 43, 90, 57, 46, 41, 55
230, 49, 41, 41, 41, 41, 42
231, 41, 41, 41, 41, 41, 41
232, 41, 41, 41, 41, 41, 41
233, 41, 41, 41, 41, 41, 41
234, 41, 41, 41, 41, 41, 41
235, 50, 45, 44, 43, 48, 46
236, 45, 64, 45, 47, 60, 52
237, 48, 43, 43, 40, 44, 43
238, 41, 41, 60, 43, 42, 45
239, 44, 91, 47, 41, 47, 54
240, 80, 66, 46, 53, 45, 58
241, 109, 41, 57, 52, 46, 61
242, 89, 82, 41, 41, 41, 58
243, 42, 41, 41, 41, 41, 41
244, 96, 50, 45, 43, 47, 56
245, 44, 43, 47, 45, 47, 45
246, 55, 51, 46, 47, 49, 49
247, 43, 47, 51, 57, 48, 49
248, 62, 62, 48, 45, 59, 55
249, 46, 72, 45, 48, 41, 50
250, 56, 48, 48, 58, 59, 53
251, 84, 44, 85, 41, 41, 59
252, 42, 62, 45, 43, 44, 47
253, 43, 41, 41, 41, 44, 42
254, 40, 41, 41, 41, 41, 40
255, 41, 50, 40, 57, 40, 45
256, 85, 102, 47, 45, 42, 64
257, 48, 47, 41, 43, 62, 48
258, 54, 43, 47, 49, 75, 53
259, 53, 45, 44, 61, 47, 50
260, 47, 66, 59, 46, 46, 52
261, 70, 61, 44, 46, 45, 53
262, 50, 46, 61, 50, 45, 50
263, 63, 59, 46, 92, 86, 69
264, 89, 49, 46, 40, 58, 56
265, 66, 47, 44, 72, 43, 54
266, 54, 41, 41, 41, 41, 43
267, 112, 51, 47, 42, 45, 59
268, 44, 45, 44, 44, 61, 47
269, 86, 86, 65, 59, 46, 68
270, 47, 43, 90, 42, 82, 60
271, 41, 41, 96, 83, 41, 60
272, 41, 108, 43, 92, 41, 65
273, 42, 41, 41, 41, 41, 41
274, 41, 42, 40, 41, 84, 49
275, 41, 57, 41, 41, 41, 44
276, 55, 110, 41, 41, 41, 57
277, 41, 41, 42, 54, 43, 44
278, 41, 41, 41, 79, 41, 48
279, 42, 41, 43, 41, 41, 41
280, 41, 41, 42, 41, 41, 41
281, 58, 41, 41, 41, 41, 44
282, 41, 41, 41, 42, 82, 49
283, 48, 41, 41, 41, 41, 42
284, 41, 41, 84, 41, 43, 50
285, 41, 41, 41, 41, 41, 41
286, 41, 45, 41, 42, 82, 50
287, 41, 41, 41, 41, 42, 41
288, 40, 41, 41, 41, 41, 40
289, 41, 41, 41, 41, 85, 49
290, 42, 112, 41, 41, 42, 55
291, 38, 41, 85, 41, 42, 49
292, 41, 41, 41, 41, 41, 41
293, 58, 54, 41, 41, 41, 47
294, 41, 41, 41, 42, 41, 41
295, 41, 41, 81, 41, 41, 49
296, 41, 41, 86, 41, 41, 50
297, 82, 41, 85, 41, 42, 58
298, 42, 41, 86, 41, 41, 50
299, 41, 41, 41, 41, 41, 41
300, 41, 41, 44, 42, 61, 45
301, 88, 44, 127, 58, 44, 72
302, 49, 45, 44, 47, 123, 61
303, 59, 122, 45, 62, 42, 66
304, 67, 58, 60, 46, 59, 58
305, 44, 42, 41, 42, 41, 42
306, 42, 41, 41, 41, 43, 41
307, 41, 42, 41, 41, 42, 41
308, 39, 46, 41, 41, 41, 41
309, 41, 41, 41, 41, 41, 41
310, 42, 40, 41, 42, 41, 41
311, 41, 41, 41, 41, 41, 41
312, 41, 41, 41, 41, 41, 41
313, 41, 41, 81, 42, 41, 49
314, 42, 41, 40, 41, 41, 41
315, 42, 41, 69, 42, 41, 47
316, 41, 41, 41, 43, 41, 41
317, 41, 41, 41, 41, 40, 40
318, 40, 86, 41, 41, 41, 49
319, 41, 40, 85, 41, 41, 49
320, 43, 85, 54, 41, 41, 52
321, 41, 41, 43, 41, 41, 41
322, 41, 41, 41, 41, 41, 41
323, 41, 41, 41, 41, 41, 41
324, 41, 48, 100, 84, 88, 72
325, 61, 41, 41, 41, 41, 45
326, 41, 71, 41, 41, 41, 47
327, 41, 41, 41, 41, 41, 41
328, 41, 41, 41, 41, 41, 41
329, 41, 41, 83, 41, 41, 49
330, 85, 41, 97, 41, 41, 61
331, 43, 41, 41, 41, 84, 50
332, 85, 41, 41, 45, 84, 59
333, 64, 101, 45, 42, 58, 62
334, 105, 42, 41, 41, 41, 54
335, 83, 50, 83, 41, 41, 59
336, 41, 68, 41, 41, 41, 46
337, 41, 41, 41, 43, 41, 41
338, 41, 41, 54, 41, 42, 43
339, 41, 71, 41, 85, 41, 55
340, 42, 41, 41, 41, 41, 41
341, 41, 58, 41, 41, 41, 44
342, 41, 68, 42, 42, 41, 46
343, 41, 87, 83, 94, 86, 78
344, 81, 43, 102, 60, 47, 66
345, 86, 79, 41, 93, 48, 69
346, 56, 42, 41, 41, 41, 44
347, 41, 41, 41, 41, 41, 41
348, 41, 41, 41, 42, 41, 41
349, 41, 49, 89, 155, 60, 78
350, 112, 85, 46, 82, 106, 86
351, 83, 82, 42, 42, 56, 61
352, 41, 41, 54, 42, 41, 43
353, 83, 41, 85, 55, 47, 62
354, 65, 41, 41, 41, 41, 45
355, 45, 42, 41, 86, 42, 51
356, 87, 42, 41, 42, 41, 50
357, 44, 41, 82, 41, 98, 61
358, 44, 55, 55, 42, 41, 47
359, 41, 41, 82, 41, 81, 57
360, 43, 54, 41, 41, 41, 44
361, 42, 41, 41, 41, 40, 41
362, 41, 41, 41, 41, 41, 41
363, 42, 41, 42, 90, 86, 60
364, 82, 43, 42, 41, 41, 49
365, 44, 41, 41, 114, 59, 59
366, 55, 41, 41, 41, 89, 53
367, 86, 41, 41, 41, 41, 50
368, 80, 81, 41, 41, 80, 64
369, 39, 41, 41, 41, 42, 40
370, 100, 62, 44, 44, 46, 59
371, 88, 104, 82, 44, 63, 76
372, 85, 46, 56, 44, 66, 59
373, 79, 61, 44, 46, 64, 58
374, 50, 55, 45, 61, 44, 51
375, 76, 42, 47, 43, 43, 50
376, 76, 116, 43, 49, 45, 65
377, 74, 47, 63, 42, 42, 53
378, 86, 46, 60, 42, 50, 56
379, 85, 51, 97, 41, 41, 63
380, 42, 54, 41, 41, 42, 44
381, 40, 57, 58, 50, 46, 50
382, 70, 57, 41, 43, 44, 51
383, 43, 55, 46, 42, 48, 46
384, 63, 43, 41, 41, 41, 45
385, 47, 87, 45, 48, 43, 54
386, 88, 65, 44, 45, 61, 60
387, 84, 43, 51, 48, 48, 54
388, 69, 48, 101, 59, 51, 65
389, 52, 96, 43, 43, 42, 55
390, 64, 41, 41, 78, 53, 55
391, 51, 41, 41, 41, 41, 43
392, 45, 41, 41, 42, 41, 42
393, 82, 41, 41, 41, 41, 49
394, 39, 41, 118, 85, 41, 64
395, 43, 41, 41, 41, 98, 52
396, 51, 50, 47, 49, 46, 48
397, 45, 45, 41, 41, 41, 42
398, 41, 41, 41, 91, 44, 51
399, 83, 41, 41, 83, 88, 67
400, 82, 41, 41, 41, 41, 49
401, 43, 83, 41, 41, 103, 62
402, 83, 41, 41, 41, 92, 59
403, 85, 44, 43, 42, 41, 51
404, 41, 41, 42, 42, 41, 41
405, 38, 41, 40, 41, 41, 40
406, 41, 41, 91, 47, 47, 53
407, 95, 42, 42, 41, 41, 52
408, 81, 41, 42, 41, 42, 49
409, 41, 88, 47, 60, 88, 64
410, 83, 42, 41, 41, 41, 49
411, 41, 41, 41, 89, 87, 59
412, 67, 40, 41, 41, 41, 46
413, 78, 41, 44, 42, 87, 58
414, 86, 81, 83, 41, 88, 75
415, 52, 42, 41, 41, 84, 52
416, 82, 41, 81, 41, 89, 66
417, 81, 41, 41, 41, 82, 57
418, 43, 41, 87, 70, 41, 56
419, 85, 83, 83, 94, 62, 81
420, 44, 55, 91, 49, 82, 64
421, 42, 41, 41, 87, 41, 50
422, 48, 50, 47, 66, 45, 51
423, 47, 45, 46, 46, 45, 45
424, 71, 51, 42, 43, 64, 54
425, 83, 49, 46, 46, 47, 54
426, 67, 47, 42, 52, 42, 50
427, 52, 45, 43, 51, 46, 47
428, 70, 45, 59, 52, 48, 54
429, 60, 66, 44, 44, 124, 67
430, 69, 45, 61, 46, 44, 53
431, 65, 59, 52, 47, 58, 56
432, 78, 86, 59, 46, 105, 74
433, 64, 50, 41, 102, 82, 67
434, 86, 41, 86, 41, 41, 59
435, 41, 41, 41, 40, 41, 40
436, 86, 41, 81, 50, 46, 60
437, 86, 41, 40, 41, 41, 49
438, 41, 41, 41, 40, 41, 40
439, 41, 41, 41, 41, 41, 41
440, 41, 41, 87, 41, 41, 50
441, 63, 41, 41, 41, 41, 45
442, 41, 41, 41, 41, 102, 53
443, 48, 41, 41, 41, 107, 55
444, 86, 41, 86, 40, 40, 58
445, 41, 43, 41, 163, 60, 69
446, 61, 54, 53, 97, 45, 62
447, 54, 41, 103, 47, 45, 58
448, 49, 41, 41, 41, 99, 54
449, 77, 47, 58, 61, 46, 57
450, 62, 45, 85, 45, 49, 57
451, 100, 87, 44, 65, 91, 77
452, 47, 41, 41, 99, 42, 54
453, 65, 45, 42, 48, 46, 49
454, 41, 41, 41, 41, 88, 50
455, 51, 41, 41, 41, 41, 43
456, 41, 40, 88, 58, 45, 54
457, 55, 41, 41, 44, 41, 44
458, 55, 41, 41, 41, 88, 53
459, 57, 67, 46, 101, 88, 71
460, 43, 41, 41, 102, 59, 57
461, 66, 41, 42, 41, 41, 46
462, 41, 41, 40, 41, 41, 40
463, 41, 41, 98, 58, 46, 56
464, 49, 41, 82, 45, 44, 52
465, 100, 41, 41, 42, 51, 55
466, 52, 47, 45, 44, 41, 45
467, 57, 43, 43, 60, 41, 48
468, 45, 46, 44, 43, 45, 44
469, 47, 44, 44, 41, 102, 55
470, 87, 41, 41, 41, 54, 52
471, 45, 41, 41, 90, 48, 53
472, 51, 41, 89, 46, 44, 54
473, 87, 43, 89, 46, 46, 62
474, 52, 41, 41, 43, 44, 44
475, 50, 42, 42, 40, 41, 43
476, 41, 41, 41, 41, 41, 41
477, 41, 41, 41, 41, 41, 41
478, 41, 41, 40, 41, 77, 48
479, 44, 49, 44, 42, 115, 58
