<SIZE>, <EXECUTION_TIME_1>, <EXECUTION_TIME_2>, <EXECUTION_TIME_3>, <EXECUTION_TIME_4>, <EXECUTION_TIME_5>, <AVG>
121, 23635, 4696, 4393, 3916, 8443, 9016
122, 29578, 3991, 3753, 3823, 3620, 8953
123, 23287, 3890, 3685, 3645, 6140, 8129
124, 34884, 3770, 3693, 7761, 3824, 10786
125, 22461, 5842, 6732, 6391, 8388, 9962
126, 25144, 5364, 7804, 7418, 4823, 10110
127, 22610, 4901, 4461, 4142, 4050, 8032
128, 25285, 4414, 4136, 4058, 4015, 8381
129, 25374, 4264, 4103, 4078, 4011, 8366
130, 23012, 6078, 6290, 6352, 6614, 9669
131, 29867, 4366, 4138, 4102, 4118, 9318
132, 24104, 4371, 4329, 4202, 4171, 8235
133, 24522, 4417, 4296, 4244, 4238, 8343
134, 25170, 4534, 4339, 4363, 4334, 8548
135, 24658, 4527, 4428, 5998, 6731, 9268
136, 31361, 7264, 8058, 6200, 4456, 11467
137, 25314, 4738, 4536, 4502, 4513, 8720
138, 26207, 4864, 4601, 4572, 4585, 8965
139, 27317, 4850, 4780, 4676, 4815, 9287
140, 25747, 4928, 4715, 4705, 4717, 8962
141, 26143, 5053, 4806, 4820, 7770, 9718
142, 29830, 7872, 7833, 7741, 7967, 12248
143, 47405, 5312, 5091, 6276, 9345, 14685
144, 27210, 8672, 9511, 6670, 5108, 11434
145, 28355, 5416, 7657, 8429, 9141, 11799
146, 36701, 5513, 5289, 5216, 5216, 11587
147, 42804, 5646, 5336, 8514, 5323, 13524
148, 29875, 8971, 10773, 9859, 9798, 13855
149, 37166, 6362, 5781, 5699, 5611, 12123
150, 30601, 9274, 5737, 5576, 8517, 11941
151, 40368, 5809, 5728, 5534, 5492, 12586
152, 47956, 9545, 5908, 5647, 10138, 15838
153, 41303, 5895, 10784, 10247, 9560, 15557
154, 41730, 9689, 6632, 6213, 5898, 14032
155, 32796, 6393, 6189, 5943, 5855, 11435
156, 31926, 6271, 5946, 5926, 7936, 11601
157, 39579, 11346, 11100, 9405, 10871, 16460
158, 33632, 6571, 6235, 6125, 5988, 11710
159, 44466, 7315, 6992, 6640, 6421, 14366
160, 34122, 6812, 6527, 6330, 6254, 12009
161, 35316, 12829, 12730, 12470, 12250, 17119
162, 53938, 10980, 7103, 6460, 6347, 16965
163, 52802, 9415, 11150, 10263, 11542, 19034
164, 35300, 6750, 6612, 6536, 6484, 12336
165, 34953, 6976, 6778, 6547, 6558, 12362
166, 36642, 6945, 6624, 6633, 6552, 12679
167, 35342, 6876, 6779, 6722, 11316, 13407
168, 47381, 8651, 11420, 8620, 6808, 16576
169, 36472, 7127, 6929, 6853, 6847, 12845
170, 37680, 7212, 6969, 6938, 6955, 13150
171, 38508, 7409, 7245, 7033, 7022, 13443
172, 37162, 7465, 7146, 7074, 7063, 13182
173, 39576, 7510, 7209, 7111, 7092, 13699
174, 38635, 7419, 7215, 7179, 7218, 13533
175, 40453, 7653, 7352, 7365, 7218, 14008
176, 40006, 7612, 7439, 7359, 7425, 13968
177, 41103, 7810, 7469, 7485, 7379, 14249
178, 41371, 7925, 7642, 7529, 7450, 14383
179, 42648, 7894, 7816, 7551, 7593, 14700
180, 37882, 7876, 7876, 7794, 7743, 13834
181, 41274, 8957, 11008, 7981, 7745, 15393
182, 42076, 8114, 8060, 7891, 7898, 14807
183, 41062, 8145, 8015, 7903, 7869, 14598
184, 42170, 8657, 8054, 12349, 13223, 16890
185, 45602, 8465, 8192, 8298, 8033, 15718
186, 44063, 13817, 14622, 14310, 15047, 20371
187, 61704, 15588, 15686, 15074, 14870, 24584
188, 58503, 15154, 15138, 8632, 8497, 21184
189, 48347, 8853, 8455, 8465, 8517, 16527
190, 44742, 8939, 8734, 8458, 8469, 15868
191, 47848, 9107, 8851, 8731, 8648, 16637
192, 45503, 9065, 8670, 8584, 8587, 16081
193, 45990, 8984, 8985, 8785, 8695, 16287
194, 46057, 9503, 9055, 8996, 8987, 16519
195, 49813, 9379, 9013, 9087, 8896, 17237
196, 46467, 9348, 9234, 9169, 9129, 16669
197, 48301, 9528, 9265, 9094, 9179, 17073
198, 48360, 9648, 9362, 9157, 9302, 17165
199, 49101, 9604, 9522, 9221, 9370, 17363
200, 52194, 9677, 9548, 9303, 9271, 17998
201, 48392, 9896, 9448, 9602, 9383, 17344
202, 51915, 10264, 9772, 9521, 9654, 18225
203, 51951, 10209, 9937, 9602, 9580, 18255
204, 51049, 10178, 9788, 9881, 9868, 18152
205, 50162, 10218, 10118, 9746, 10068, 18062
206, 51971, 10336, 9907, 10107, 9940, 18452
207, 54420, 10313, 10318, 9973, 9928, 18990
208, 54169, 10502, 10344, 9992, 9985, 18998
209, 54090, 10546, 10394, 10133, 10086, 19049
210, 54390, 10703, 10497, 10434, 10385, 19281
211, 54042, 10941, 10559, 10577, 10574, 19338
212, 57180, 10731, 10466, 10673, 10465, 19903
213, 55847, 11022, 10755, 10851, 10469, 19788
214, 55712, 11168, 11000, 10783, 10758, 19884
215, 56952, 11422, 11038, 10924, 10847, 20236
216, 55895, 11444, 17118, 10944, 10986, 21277
217, 61657, 11712, 11321, 10893, 10847, 21286
218, 58889, 11345, 11153, 11015, 11171, 20714
219, 58833, 11651, 11369, 11065, 11258, 20835
220, 61345, 11495, 11211, 11141, 11357, 21309
221, 59270, 11904, 11584, 11215, 11456, 21085
222, 60707, 11685, 11689, 11395, 11317, 21358
223, 58922, 12127, 11571, 11440, 11662, 21144
224, 61973, 12464, 12015, 11797, 11788, 22007
225, 62461, 12436, 11748, 11659, 11878, 22036
226, 62488, 12188, 12028, 11706, 11973, 22076
227, 77566, 12416, 12312, 20762, 20478, 28706
228, 79256, 20189, 19821, 21785, 21171, 32444
229, 84337, 21232, 21429, 21032, 20929, 33791
230, 68273, 21452, 13063, 12670, 12711, 25633
231, 61422, 13184, 12788, 12704, 16638, 23347
232, 64077, 13032, 15643, 20510, 17677, 26187
233, 77179, 19574, 16810, 19677, 18725, 30393
234, 82462, 19642, 23520, 21130, 22716, 33894
235, 86956, 17946, 13467, 13192, 12781, 28868
236, 67904, 21284, 13377, 19078, 23045, 28937
237, 88095, 13671, 12964, 13132, 19687, 29509
238, 68711, 13407, 13040, 13351, 13269, 24355
239, 80054, 21654, 31458, 23172, 23242, 35916
240, 69664, 14054, 13641, 13710, 13649, 24943
241, 104403, 18835, 24224, 22932, 23334, 38745
242, 84698, 32094, 33712, 14766, 13997, 35853
243, 74164, 14872, 13966, 14111, 20539, 27530
244, 88502, 17518, 24725, 23661, 25948, 36070
245, 90075, 25811, 31160, 23530, 21241, 38363
246, 83840, 15191, 18261, 20428, 18567, 31257
247, 86981, 19158, 18630, 18793, 18360, 32384
248, 90892, 23710, 22725, 21332, 21407, 36013
249, 90646, 25141, 24376, 24444, 20619, 37045
250, 84750, 20210, 22478, 14575, 14302, 31263
251, 74217, 15155, 14834, 14297, 14302, 26561
252, 74576, 15160, 14961, 14433, 14795, 26785
253, 77945, 14907, 14957, 14908, 14512, 27445
254, 75612, 24938, 14842, 14749, 14705, 28969
255, 76662, 15184, 14897, 15150, 14719, 27322
256, 75433, 15814, 15397, 25257, 26805, 31741
257, 96431, 24889, 27224, 26208, 26169, 40184
258, 87282, 15671, 15240, 15077, 15101, 29674
259, 75860, 15968, 15854, 17390, 30563, 31127
260, 80005, 16196, 15440, 15842, 36514, 32799
261, 103228, 28263, 27959, 27994, 26504, 42789
262, 83745, 16759, 16268, 16326, 15858, 29791
263, 80559, 16669, 15992, 15843, 15874, 28987
264, 80734, 17006, 16120, 16022, 17763, 29529
265, 82757, 16488, 29192, 16622, 16090, 32229
