<SIZE>, <EXECUTION_TIME_1>, <EXECUTION_TIME_2>, <EXECUTION_TIME_3>, <EXECUTION_TIME_4>, <EXECUTION_TIME_5>, <AVG>
1667, 45068, 45533, 45148, 44870, 45499, 45223
1668, 45088, 45419, 45387, 45346, 45638, 45375
1669, 45790, 47628, 47672, 45102, 45531, 46344
1670, 45654, 45171, 45792, 45507, 45751, 45575
1671, 45169, 45203, 44953, 45613, 45095, 45206
1672, 45332, 45602, 45274, 45570, 46572, 45670
1673, 45722, 45421, 45804, 45401, 45657, 45601
1674, 45601, 45766, 48301, 45188, 45167, 46004
1675, 45643, 45319, 45749, 45642, 45400, 45550
1676, 45220, 45290, 45836, 45345, 45134, 45365
1677, 45816, 45630, 46036, 45389, 45599, 45694
1678, 45643, 45900, 45535, 46230, 45843, 45830
1679, 45887, 45822, 48413, 45375, 45520, 46203
1680, 45520, 45646, 45419, 45416, 45052, 45410
1681, 45472, 45212, 45504, 45704, 45939, 45566
1682, 45521, 45971, 45629, 45780, 46206, 45821
1683, 45893, 45594, 45867, 45615, 45445, 45682
1684, 46139, 46111, 47369, 46378, 45384, 46276
1685, 46097, 45468, 46191, 45650, 46062, 45893
1686, 45734, 46315, 45874, 46367, 46067, 46071
1687, 45903, 45940, 45833, 49539, 45393, 46521
1688, 45589, 45864, 45959, 45943, 45505, 45772
1689, 46514, 45829, 48530, 45860, 45913, 46529
1690, 45665, 45772, 46215, 45664, 45821, 45827
1691, 46236, 45593, 46422, 45694, 45660, 45921
1692, 46429, 46389, 46204, 45993, 46083, 46219
1693, 46077, 46501, 46027, 46583, 46474, 46332
1694, 46197, 46067, 47533, 45567, 46174, 46307
1695, 45792, 46209, 45975, 46008, 45976, 45992
1696, 46447, 46506, 46303, 46878, 47787, 46784
1697, 46067, 45945, 53966, 104996, 46873, 59569
1698, 46605, 46108, 45873, 46751, 46055, 46278
1699, 45548, 45865, 50069, 46375, 46231, 46817
1700, 46336, 46260, 46251, 47106, 46237, 46438
1701, 46605, 45740, 45952, 45911, 45818, 46005
1702, 46862, 46829, 46741, 46627, 46712, 46754
1703, 46716, 46221, 46579, 47075, 46368, 46591
1704, 62296, 56191, 49826, 46136, 46540, 52197
1705, 45934, 45964, 46792, 46680, 46563, 46386
1706, 46392, 47226, 46231, 46314, 46850, 46602
1707, 46451, 46070, 46709, 46251, 46595, 46415
1708, 46558, 46445, 46326, 45931, 46447, 46341
1709, 46018, 47990, 46724, 47232, 46932, 46979
1710, 46547, 46424, 46157, 46568, 46640, 46467
1711, 47020, 48232, 50215, 67349, 50554, 52674
1712, 52561, 46212, 46533, 46466, 46428, 47640
1713, 58939, 47400, 46564, 46102, 46091, 49019
1714, 46432, 48641, 56336, 68234, 69198, 57768
1715, 71124, 71065, 48086, 51399, 58451, 60025
1716, 67207, 67601, 67640, 67832, 67247, 67505
1717, 67829, 67772, 67093, 66951, 67893, 67507
1718, 69148, 69232, 68837, 70761, 68470, 69289
1719, 71599, 70240, 66742, 68146, 67693, 68884
1720, 67383, 66622, 67747, 68164, 67668, 67516
1721, 71030, 68238, 69082, 69079, 68683, 69222
1722, 68627, 67715, 68797, 144037, 102238, 90282
1723, 90146, 110420, 245887, 99949, 122806, 133841
1724, 96912, 67915, 64923, 65066, 65008, 71964
1725, 66363, 66477, 72520, 66740, 75652, 69550
1726, 74974, 67546, 67178, 67310, 67704, 68942
1727, 68152, 69156, 69457, 69054, 110175, 77198
1728, 69437, 68847, 68982, 148006, 105330, 92120
1729, 74486, 68240, 67608, 71038, 70201, 70314
1730, 110346, 76967, 75086, 69313, 69829, 80308
1731, 71448, 117043, 70966, 71777, 71734, 80593
1732, 94155, 68363, 81197, 136221, 84896, 92966
1733, 206678, 95557, 74535, 70040, 73089, 103979
1734, 69126, 69852, 68963, 72864, 93175, 74796
1735, 76499, 70046, 69526, 70196, 76123, 72478
1736, 91534, 123857, 82815, 72167, 71066, 88287
1737, 69120, 69181, 69679, 69485, 69580, 69409
1738, 67269, 67590, 68416, 72275, 69877, 69085
1739, 71722, 71903, 71824, 70154, 71065, 71333
1740, 68237, 69165, 68860, 67031, 67711, 68200
1741, 68890, 68956, 67958, 68079, 68474, 68471
1742, 69080, 68561, 68695, 68555, 67987, 68575
1743, 72305, 72003, 71275, 73680, 70276, 71907
1744, 70145, 69562, 68905, 69138, 68867, 69323
1745, 69775, 69125, 69967, 68600, 70156, 69524
1746, 72361, 72241, 72571, 73473, 73739, 72877
1747, 68983, 68781, 68849, 69747, 68502, 68972
1748, 71169, 69657, 74239, 72961, 71857, 71976
1749, 79506, 69867, 70157, 70058, 79272, 73772
1750, 75390, 73178, 85595, 133271, 74732, 88433
1751, 80585, 136693, 102465, 127852, 106055, 110730
1752, 100238, 146118, 235410, 121499, 88936, 138440
1753, 86989, 96649, 80899, 82404, 160764, 101541
1754, 76940, 120977, 225092, 105781, 104992, 126756
1755, 90659, 1674710, 127870, 102169, 168643, 432810
1756, 104453, 104466, 129568, 5579399, 103155, 1204208
1757, 102746, 796920, 226408, 217563, 105487, 289824
1758, 113220, 109050, 400032, 103557, 113919, 167955
1759, 132197, 139787, 107443, 107628, 104750, 118361
1760, 96224, 85819, 137236, 146965, 99840, 113216
1761, 89039, 81720, 85883, 90717, 114531, 92378
1762, 71349, 74345, 99403, 135641, 112605, 98668
1763, 70636, 70682, 71197, 69949, 70336, 70560
1764, 71757, 77452, 72739, 72972, 72240, 73432
1765, 69408, 69679, 69406, 69134, 68921, 69309
1766, 69033, 70344, 69276, 69106, 69749, 69501
1767, 70591, 71102, 69973, 78740, 73382, 72757
1768, 71790, 70415, 70731, 101958, 87285, 80435
1769, 72196, 73372, 87973, 71357, 73118, 75603
1770, 73597, 72547, 71716, 72009, 73153, 72604
1771, 89874, 102165, 87639, 78628, 77930, 87247
1772, 73361, 69811, 75540, 71288, 70085, 72017
1773, 70642, 76923, 70821, 70554, 70416, 71871
1774, 70527, 70335, 70469, 69978, 70100, 70281
1775, 71368, 71243, 71238, 71888, 80966, 73340
1776, 70631, 70838, 69996, 71084, 70443, 70598
1777, 70770, 74213, 74274, 75331, 74054, 73728
1778, 70287, 69314, 70121, 69510, 69600, 69766
1779, 70907, 69608, 70034, 70005, 69347, 69980
1780, 73852, 73513, 73983, 72884, 97492, 78344
1781, 72454, 70503, 70517, 71111, 76336, 72184
1782, 69918, 69831, 69159, 70326, 70049, 69856
1783, 70322, 70215, 69764, 70642, 69860, 70160
1784, 70610, 63581, 48388, 66596, 70441, 63923
1785, 69566, 69632, 71506, 70157, 70092, 70190
1786, 73788, 73418, 74562, 74711, 71899, 73675
