<ITERATION>, <INVOKE>, <BEGIN_INTERVAL>, <END_INTERVAL>, <DIFFERENCE>, <X1>, <X2>, <F1>, <F2>
1, 2, 0.0, 0.6180339887498948, 0.3819660112501052, 0.6180339887498948, 0.05572809000084124, 0.23606797749978964
2, 4, 0.0, 0.3819660112501051, 0.2360679774997897, 0.3819660112501051, 0.013155617496424838, 0.05572809000084119
3, 6, 0.0, 0.23606797749978967, 0.14589803375031543, 0.23606797749978967, 0.003105620015141857, 0.013155617496424833
4, 8, 0.0, 0.14589803375031543, 0.09016994374947424, 0.14589803375031543, 0.0007331374358574047, 0.003105620015141857
5, 10, 0.0, 0.09016994374947422, 0.05572809000084121, 0.09016994374947422, 0.00017307027171223932, 0.0007331374358574043
6, 12, 0.0, 0.0557280900008412, 0.03444185374863302, 0.0557280900008412, 0.000040856349008447376, 0.00017307027171223924
7, 14, 0.0, 0.03444185374863302, 0.021286236252208185, 0.03444185374863302, 0.000009644875678449714, 0.000040856349008447376
8, 16, 0.0, 0.02128623625220818, 0.013155617496424837, 0.02128623625220818, 0.000002276846294648536, 0.000009644875678449709
9, 18, 0.0, 0.013155617496424835, 0.008130618755783347, 0.013155617496424835, 0.0000005374904998555699, 0.0000022768462946485345
10, 20, 0.0, 0.008130618755783347, 0.005024998740641488, 0.008130618755783347, 0.00000012688429522625536, 0.0000005374904998555699
11, 22, 0.0, 0.005024998740641488, 0.003105620015141858, 0.005024998740641488, 0.000000029953318950548347, 0.00000012688429522625536
12, 24, 0.0, 0.0031056200151418573, 0.001919378725499631, 0.0031056200151418573, 0.0000000070710194240620674, 0.00000002995331895054832
13, 26, 0.0, 0.0019193787254996309, 0.0011862412896422264, 0.0019193787254996309, 0.0000000016692412543000596, 0.000000007071019424062065
14, 28, 0.0, 0.0011862412896422264, 0.0007331374358574044, 0.0011862412896422264, 0.0000000003940544068618271, 0.0000000016692412543000596
15, 30, 0.0, 0.0007331374358574044, 0.000453103853784822, 0.0007331374358574044, 0.00000000009302362685275084, 0.0000000003940544068618271
